ID:9942 SKID:BK0+464.5  timeStamp:2025-03-28 08:08:24:557
ID:9942 SKID:BK0+466  timeStamp:2025-03-28 08:08:24:745
ID:9942 SKID:BK0+467  timeStamp:2025-03-28 08:08:24:932
ID:9942 SKID:BK0+468  timeStamp:2025-03-28 08:08:25:110
ID:9942 SKID:BK0+469.5  timeStamp:2025-03-28 08:08:25:285
ID:9942 SKID:BK0+470.5  timeStamp:2025-03-28 08:08:25:464
ID:9942 SKID:BK0+472  timeStamp:2025-03-28 08:08:25:643
ID:9942 SKID:BK0+473.5  timeStamp:2025-03-28 08:08:25:832
ID:9942 SKID:BK0+474  timeStamp:2025-03-28 08:08:26:12
ID:9942 SKID:BK0+475.5  timeStamp:2025-03-28 08:08:26:194
ID:9942 SKID:BK0+477  timeStamp:2025-03-28 08:08:26:372
ID:9942 SKID:BK0+478.5  timeStamp:2025-03-28 08:08:26:871
ID:9942 SKID:BK0+479.5  timeStamp:2025-03-28 08:08:27:122
ID:9942 SKID:BK0+480.5  timeStamp:2025-03-28 08:08:27:300
ID:9942 SKID:BK0+482  timeStamp:2025-03-28 08:08:27:474
ID:9942 SKID:BK0+483.5  timeStamp:2025-03-28 08:08:27:651
ID:9942 SKID:BK0+484.5  timeStamp:2025-03-28 08:08:27:829
ID:9942 SKID:BK0+486  timeStamp:2025-03-28 08:08:28:20
ID:9942 SKID:BK0+487  timeStamp:2025-03-28 08:08:28:194
ID:9942 SKID:BK0+488.5  timeStamp:2025-03-28 08:08:28:373
ID:9942 SKID:BK0+489.5  timeStamp:2025-03-28 08:08:28:552
ID:9942 SKID:BK0+491  timeStamp:2025-03-28 08:08:28:731
ID:9942 SKID:BK0+492  timeStamp:2025-03-28 08:08:28:914
ID:9942 SKID:BK0+493  timeStamp:2025-03-28 08:08:29:97
ID:9942 SKID:BK0+495  timeStamp:2025-03-28 08:08:29:276
ID:9942 SKID:BK0+496  timeStamp:2025-03-28 08:08:29:455
ID:9942 SKID:BK0+497.5  timeStamp:2025-03-28 08:08:29:635
ID:9942 SKID:BK0+498.5  timeStamp:2025-03-28 08:08:29:816
ID:9942 SKID:BK0+500  timeStamp:2025-03-28 08:08:29:998
ID:9942 SKID:BK0+501  timeStamp:2025-03-28 08:08:30:181
ID:9942 SKID:BK0+502  timeStamp:2025-03-28 08:08:30:363
ID:9942 SKID:BK0+503.5  timeStamp:2025-03-28 08:08:30:545
ID:9942 SKID:BK0+504.5  timeStamp:2025-03-28 08:08:30:730
ID:9942 SKID:BK0+506.5  timeStamp:2025-03-28 08:08:30:905
ID:9942 SKID:BK0+507.5  timeStamp:2025-03-28 08:08:31:77
ID:9942 SKID:BK0+508.5  timeStamp:2025-03-28 08:08:31:258
ID:9942 SKID:BK0+510  timeStamp:2025-03-28 08:08:31:431
ID:9942 SKID:BK0+511  timeStamp:2025-03-28 08:08:31:608
ID:9942 SKID:BK0+512.5  timeStamp:2025-03-28 08:08:31:787
ID:9942 SKID:BK0+514  timeStamp:2025-03-28 08:08:31:973
ID:9942 SKID:BK0+515  timeStamp:2025-03-28 08:08:32:164
ID:9942 SKID:BK0+516  timeStamp:2025-03-28 08:08:32:330
ID:9942 SKID:BK0+517  timeStamp:2025-03-28 08:08:32:494
ID:9942 SKID:BK0+518.5  timeStamp:2025-03-28 08:08:32:660
